Time	ACE	BPG	CO2	ETOH	F6P	F16P	F26BP	G6P	GLCi	GLCo	GLY	Glyc	NAD	NADH	P2G	P3G	P	PEP	PYR	SUCC	SUM_P	Trh	TRIO
0.042	0.0138446440842269	0.000284265746649984	4.09796804702042	53.2300017764864	0.300761550225691	4.91836820346995	0.02	2.22292939245326	0.104507171317018	46.3044097812795	2.09771626670063	0.252000000000001	0.98975909216624	0.60024090783376	0.0390215233069558	0.31551920037564	6.22469811809704	0.0586777663178682	4.78030570857884	0.0120608132248424	4.1	0.1008	2.38535502446221
0.043	0.0139512263727351	0.000285561898417506	4.19354040821876	53.3248727274419	0.299843486042495	4.91694851996657	0.02	2.21429856530382	0.10452711917363	46.2168111232215	2.13972822682412	0.258000000000001	0.991724358322967	0.598275641677034	0.0392055075075542	0.316965544207887	6.22483704005447	0.0589435398636743	4.81686135264096	0.0123582272019856	4.1	0.1032	2.38481223142257
0.044	0.0140588458733446	0.000286986575802362	4.28973151917946	53.4203568070834	0.29900237375675	4.91524905827187	0.02	2.20586293545279	0.10452021722092	46.1292174600013	2.1815242331254	0.264000000000001	0.993755544737155	0.596244455262846	0.0393926469600505	0.318429311293419	6.22579551987499	0.0592238620152542	4.85308737011393	0.012657933111288	4.1	0.1056	2.38421998132947
0.045	0.0141675198631433	0.000288537471126374	4.38653035561259	53.5164429290965	0.298237885205365	4.91326032530945	0.02	2.19763701646653	0.104486924579627	46.041627104674	2.22310641931034	0.270000000000001	0.995850378475707	0.594149621524294	0.039582661573534	0.31990832290011	6.22755527229537	0.0595183443365368	4.88899088805815	0.0129599533264076	4.1	0.108	2.38357595826785
0.046	0.0142772696452929	0.000290212646996236	4.48392618182245	53.613120290908	0.297549661872147	4.91097365487937	0.02	2.18963442789585	0.104427774987137	45.9540384020972	2.26447684892682	0.276000000000001	0.998006862025707	0.591993137974293	0.0397753149582144	0.321400739302494	6.23009715969378	0.0598266613481025	4.92457823582739	0.0132643106345267	4.1	0.1104	2.38287796170418
0.047	0.014388120181203	0.000292010498503456	4.58190853241822	53.7103783555999	0.296937323517365	4.90838116729061	0.02	2.18186791837754	0.104343368909478	45.866449733272	2.30563751615848	0.282000000000001	1.00022323599829	0.589776764001709	0.039970408181024	0.322905010514637	6.23340133117486	0.0601485429524797	4.95985504624005	0.0135710283184575	4.1	0.1128	2.38212391030276
0.048	0.014500099781724	0.000293929720816032	4.68046719615189	53.808206835907	0.29640047460958	4.90547573139452	0.02	2.17434939070608	0.104234366192839	45.7788595192077	2.34659034682149	0.288000000000001	1.00249794711752	0.587502052882477	0.040167774534567	0.324419835056865	6.23744734290729	0.0604837680110469	4.99482634144151	0.0138801302314882	4.1	0.1152	2.38131184404036
0.049	0.0146132398466306	0.000295969281276039	4.77959220151529	53.9065956799359	0.29593870904376	4.90225092877935	0.02	2.16708992824916	0.104101479175252	45.6912662243588	2.38733719951536	0.294000000000001	1.00482962055687	0.58517037944313	0.0403672751259294	0.325944125222508	6.2422142629598	0.0608321588568916	5.02949660629379	0.0141916408662936	4.1	0.117600000000001	2.38043992497636
0.05	0.0147275746489012	0.000298128394712621	4.87927380390205	54.0055350584157	0.295551613400303	4.89870102007817	0.02	2.16009982227744	0.103945466233432	45.6036683596437	2.42787986689674	0.300000000000001	1.00721703610184	0.582782963898156	0.0405687951776996	0.327476978002728	6.24768076239054	0.0611935766064628	5.0638698508712	0.0145055854186379	4.1	0.120000000000001	2.37950643688247
0.051	0.0148431411526564	0.000300406503710695	4.97950247411245	54.1050153532662	0.295238769093048	4.89482091320457	0.02	2.15338859980918	0.10376712570862	45.5160644850725	2.46822007704426	0.306000000000001	1.00965910758152	0.58034089241848	0.0407722409227569	0.329017650695461	6.25382519453642	0.0615679171850265	5.09794966376947	0.0148219898467325	4.1	0.122400000000001	2.37850978399115
0.052	0.0149599788653707	0.000302803258912241	5.08026888790912	54.205027147189	0.294999753729676	4.89060613323884	0.02	2.1469650516209	0.10356729014693	45.4284532120319	2.50835949488075	0.312000000000001	1.01215486482488	0.57784513517512	0.0409775369464785	0.330565540074358	6.26062566509839	0.0619551078517001	5.13173925842259	0.015140880927294	4.1	0.124800000000001	2.37744848911959
0.053	0.0150781297115629	0.000305318503802957	5.18156391657711	54.3055612142482	0.294834141632172	4.88605279411519	0.02	2.14083726019541	0.103346820903779	45.3408332052248	2.54829972364118	0.318000000000001	1.01470343791969	0.575296562080315	0.0411846239509913	0.332120164929626	6.2680600936047	0.0623551041779898	5.1652415129046	0.015462286308585	4.1	0.127200000000001	2.37632119117199
0.054	0.0151976379327659	0.000307952260403687	5.28337861833338	54.4066085112785	0.294741503866892	4.88115757181794	0.02	2.13501262741993	0.103106603030972	45.2532031842883	2.58804230636655	0.324000000000001	1.01730404346119	0.572695956538806	0.0413934568605738	0.333681151259148	6.27610626746191	0.0627678874918483	5.19845900429568	0.0157862345609879	4.1	0.129600000000001	2.37512664228437
0.055	0.0153185500040832	0.000310704716357121	5.38570423044566	54.50816016999	0.294721407831259	4.87591767903725	0.02	2.12949790185116	0.10284754045277	45.165561925117	2.62758872740795	0.330000000000001	1.01995597237486	0.570044027625144	0.0416040031973951	0.335248219654297	6.28474189000013	0.0631934625722062	5.2313940387603	0.0161127552256908	4.1	0.132000000000001	2.37386370466707
0.056	0.0154409145681692	0.000313576214601869	5.48853216199903	54.6102074897072	0.294773416450001	4.87033084125781	0.02	2.12429920541744	0.102570551433829	45.0779082609019	2.66694041393171	0.336000000000001	1.02265857912291	0.567341420877095	0.0418162417017728	0.33682117459322	6.29394462303947	0.0636318556642648	5.26404867775803	0.0164418788617488	4.1	0.134400000000001	2.37253134721552
0.057	0.0155647823818066	0.000316567242100911	5.59185398721891	54.7127419306532	0.294897087115583	4.86439527414562	0.02	2.1194220594583	0.102276564311201	44.9902410829054	2.70609873741605	0.342000000000001	1.02541127208764	0.564588727912365	0.0420301611471411	0.338399895290839	6.30369212481102	0.0640831127109896	5.29642476109617	0.0167736370918745	4.1	0.136800000000001	2.37112864200566
0.058	0.0156902062747507	0.000319678422241292	5.69566143928853	54.8157551077192	0.295091970390154	4.85810966221202	0.02	2.11487141000813	0.101966513497724	44.9025593409864	2.74506501513204	0.348000000000001	1.0282135049375	0.561786495062503	0.0422457593223331	0.33998432787466	6.31396208381511	0.0645472977729601	5.32852392729149	0.0171080626472211	4.1	0.1392	2.36965476070694
0.059	0.0158172411173139	0.000322910504994651	5.79994640460466	54.9192387846644	0.295357608519181	4.85147313869097	0.02	2.11065165225677	0.101641335749977	44.8148620438927	2.78384051160383	0.354000000000001	1.03106476882242	0.55893523117758	0.0424630421548399	0.341574478680446	6.32473224913675	0.0650244916219119	5.36034763164499	0.0174451894113827	4.1	0.141600000000001	2.36810897096521
0.06	0.0159459437966201	0.000326264360431252	5.90470091742262	55.0231848686983	0.295693533804091	4.84448526656749	0.02	2.10676665413555	0.101301966692658	44.7271482593364	2.82242644004406	0.360000000000001	1.03396458528931	0.556035414710687	0.0426820229500283	0.343170408465477	6.33598045765658	0.065514790456011	5.39189716240721	0.0177850524637935	4.1	0.144	2.36649063282193
0.061	0.0160763731980272	0.000329740971408682	6.00991715485119	55.1275854054076	0.29609926684764	4.83714602072474	0.02	2.10321977898461	0.100949337599765	44.6394171138671	2.86082396376154	0.366000000000001	1.03691249977175	0.553087500228255	0.0429027217309925	0.344772227432512	6.34768465855319	0.0660183047349877	5.42317365530846	0.0181276881226828	4.1	0.1464	2.3647991951612
0.062	0.0162085901935747	0.000333341425465523	6.11558743216373	55.2324325739946	0.296574314697832	4.82945577116734	0.02	2.10001390726595	0.10058437242809	44.5516677925578	2.89903419753946	0.372000000000001	1.03990807561596	0.550091924384039	0.0431251646597935	0.346380090891198	6.35982293536929	0.0665351581005329	5.45417810671443	0.0184731339877002	4.1	0.1488	2.36303419227136
0.063	0.0163426576306353	0.000337066912730696	6.2217041983951	55.3377186827997	0.297118168911648	4.8214152672756	0.02	2.09715145729994	0.10020798509715	44.4638995385172	2.93705820898281	0.378000000000001	1.04295088848999	0.547049111510007	0.0433493835316249	0.347994195513227	6.37237352599	0.0670654863743918	5.48491138561867	0.0188214289823094	4.1	0.1512	2.36119524046848
0.064	0.0164786403292502	0.000340918711385118	6.32826003219822	55.4434361650768	0.297730303540584	4.81302562306387	0.02	2.09463440501012	0.0998210770133377	44.3761116522447	2.97489701983515	0.384000000000001	1.04604052120256	0.543959478797444	0.0435754153217168	0.349614776015373	6.38531484070096	0.0676094366086874	5.51537424466607	0.0191726133960239	4.1	0.1536	2.35928203489818
0.065	0.016616605071909	0.000344898194096897	6.43524763793946	55.5495775750144	0.298410173068819	4.80428830338681	0.02	2.0924643026682	0.0994245348277723	44.2883034908414	3.0125516072646	0.390000000000001	1.04917655876198	0.540823441238018	0.0438033017894497	0.351242102278176	6.39862547861391	0.0681671661900242	5.54556733034641	0.0195267289265112	4.1	0.156	2.35729434641192
0.066	0.0167566206046801	0.000349006805047542	6.54265984201367	55.6561355839656	0.29915721028838	4.79520511108239	0.02	2.09064229663177	0.0990192284284593	44.2004744670892	3.05002290512015	0.396000000000001	1.05235858368043	0.537641416319572	0.044033089117665	0.352876476818808	6.41228424264061	0.0687388419684827	5.57549119251699	0.019883818721611	4.1	0.1584	2.35523201859883
0.067	0.0168987576294817	0.000353246080675677	6.65048958936393	55.7631029768918	0.299970824138089	4.78577817500905	0.02	2.08916914407474	0.0986060091552019	44.1126240484137	3.08731180515933	0.402000000000001	1.05558617171232	0.534413828287684	0.0442648275757699	0.354518232300418	6.42627015287032	0.0693246394077673	5.60514629334676	0.0202439274212306	4.1	0.1608	2.35309496518375
0.068	0.0170430887956067	0.000357617605001513	6.75872994018942	55.8704726489952	0.300850397510871	4.7760099389387	0.02	2.08804522872507	0.0981857082292863	44.0247517557423	3.12441915824901	0.408000000000002	1.05885888726006	0.53114111273994	0.0444985712342234	0.356167729819045	6.44056245933743	0.0699247417494186	5.63453301578956	0.0206071011992183	4.1	0.1632	2.35088316707182
0.069	0.0171896887027207	0.000362123046484047	6.86737406683139	55.9782376025187	0.30179528503534	4.76590315123842	0.02	2.08727057561994	0.0977591353905349	43.9368571622701	3.16134577554139	0.414000000000002	1.06217627953928	0.527823720460716	0.0447343776859428	0.357825356649327	6.45514065304198	0.0705393392010047	5.66365167169207	0.0209733878049133	4.1	0.1656	2.34859667024371
0.07	0.0173386338560074	0.000366764110248655	6.97641525082569	56.0863909437602	0.302804810838542	4.75546085535286	0.02	2.08684486489475	0.0973270777307088	43.8489398921465	3.19809242962781	0.420000000000002	1.06553787813799	0.52446212186201	0.0449723077844758	0.359491525022035	6.46998447690176	0.0711686280871483	5.69250250960668	0.0213428366046453	4.1	0.168	2.34623558300926
0.071	0.0174900027143251	0.000371542581824005	7.08584688011446	56.1949258801546	0.30387826629714	4.74468638103752	0.02	2.0867674446217	0.0968902987187302	43.7609996190918	3.23465985567212	0.426000000000002	1.06894319007702	0.521056809922979	0.0452124253647792	0.361166669482642	6.48507393425841	0.0718128099984506	5.72108572233972	0.0217154986226722	4.1	0.1704	2.34380007491221
