Time	GLC	G6P	F6P	FBP
83.33333333	2.951533216	2.740237185	0.119737861	0.498998737
84	2.925090144	2.72134156	0.113133592	0.458599414
84.66666667	2.890060887	2.719660561	0.11627954	0.47634625
85.33333333	2.888395244	2.765155492	0.118139459	0.459365314
86	2.875599837	2.74607621	0.124694995	0.458113679
86.66666667	2.855553254	2.745301003	0.129750109	0.501935694
87.33333333	2.815801104	2.754240193	0.113048318	0.527266278
88	2.842067802	2.809796059	0.118763363	0.512831045
88.66666667	2.826931282	2.785221286	0.122600666	0.495162546
89.33333333	2.800820118	2.792538971	0.125243626	0.571958039
90	2.77466191	2.797545976	0.131975315	0.513538901
90.66666667	2.773387777	2.822092844	0.138437626	0.542268218
91.33333333	2.766810488	2.835680615	0.126972609	0.591392389
92	2.740630444	2.802841396	0.128272758	0.572903735
92.66666667	2.745753365	2.821709706	0.119507505	0.561462562
93.33333333	2.711238619	2.797245216	0.123077045	0.525853846
94	2.693564228	2.821924032	0.11641528	0.566741853
94.66666667	2.703381358	2.855163833	0.139103871	0.623172762
95.33333333	2.683726963	2.835746112	0.121740329	0.572961254
96	2.66223425	2.837322476	0.137407883	0.575641974
96.66666667	2.63958478	2.816244599	0.113725105	0.637839213
97.33333333	2.638147236	2.837295879	0.121965924	0.632693211
98	2.634850164	2.868484553	0.129073469	0.598917477
98.66666667	2.607934979	2.858662445	0.121913641	0.553464362
99.33333333	2.612313176	2.855009495	0.1286794	0.632990131
100	2.608701272	2.877538343	0.128108151	0.675240603
100.6666667	2.591023458	2.892344148	0.128479325	0.627476347
101.3333333	2.588780603	2.90821371	0.116266636	0.652507502
102	2.554754143	2.885138498	0.117880498	0.626157807
102.6666667	2.533872856	2.876968013	0.123151759	0.616329563
103.3333333	2.537301822	2.915525135	0.129534027	0.690819411
104	2.529661302	2.926841157	0.139944915	0.707042856
104.6666667	2.528593616	2.964701145	0.132046963	0.716138639
105.3333333	2.496363567	2.917248557	0.12989617	0.688905784
106	2.483270123	2.89083597	0.112233126	0.70427408
